MUSEUM,MATCHADDRESS,LATITUDE,LONGITUDE,ID,status,stat_point,Station_Name,approx_distance_miles
Spagnuolo Art Gallery,1221 36TH STREET NW,38.9063108,-77.07011468,300017,active,POINT(-77.071652 38.90774),37th & O St NW / Georgetown University,0.12880336863516323
"The History of Cannabis  ",3626 GEORGIA AVENUE NW,38.934824,-77.02433,232148,active,POINT(-77.0241808891296 38.9366839345886),Georgia & New Hampshire Ave NW,0.12878642476038837
The National Bonsai and Penjing Museum,3501 NEW YORK AVENUE NE,38.9124031,-76.96989039,293238,active,POINT(-76.971923 38.91263),24th & R St NE / National Arboretum,0.11041963662745284
The Phillips Collection,1600 21ST STREET NW,38.91150234,-77.04685225,243333,active,POINT(-77.04564 38.912644),Connecticut Ave & R St NW,0.10234400338545974
The Phillips Collection,1600 21ST STREET NW,38.91150234,-77.04685225,243333,active,POINT(-77.048728 38.909394),22nd & P ST NW,0.17721176451725162
The Phillips Collection,1600 21ST STREET NW,38.91150234,-77.04685225,243333,active,POINT(-77.0444 38.9101),Massachusetts Ave & Dupont Circle NW,0.16365106550396508
The Textile Museum,701 21ST STREET NW,38.89879551,-77.04641484,311648,active,POINT(-77.0464485883713 38.9007106254746),21st & I St NW,0.1323626378441567
The Textile Museum,701 21ST STREET NW,38.89879551,-77.04641484,311648,active,POINT(-77.0488523839595 38.8989254671684),22nd & H St NW,0.13140776578803165
The Textile Museum,701 21ST STREET NW,38.89879551,-77.04641484,311648,active,POINT(-77.043182 38.898412),19th & G St NW,0.1758835807659792
The Wilderness Society - Ansel Adams Collection,1615 M STREET NW,38.90585437,-77.03735337,301103,active,POINT(-77.0398020744324 38.9059956999911),Rhode Island & Connecticut Ave NW,0.13204935493388828
The Wilderness Society - Ansel Adams Collection,1615 M STREET NW,38.90585437,-77.03735337,301103,active,POINT(-77.034674 38.905424),15th & M St NW,0.1471305779852135
The Wilderness Society - Ansel Adams Collection,1615 M STREET NW,38.90585437,-77.03735337,301103,active,POINT(-77.038359 38.908142),17th St & Massachusetts Ave NW,0.1670880276910648
U.S. Daughters of 1812 Library and Museum,1463 RHODE ISLAND AVENUE NW,38.90835625,-77.03415685,240224,active,POINT(-77.0323 38.9086),14th & Rhode Island Ave NW,0.10126589770159886
U.S. Daughters of 1812 Library and Museum,1463 RHODE ISLAND AVENUE NW,38.90835625,-77.03415685,240224,active,POINT(-77.034438 38.90985),15th & P St NW,0.10433168317970244
United States Botanic Garden,100 MARYLAND AVENUE SW,38.8882481,-77.01290115,297683,active,POINT(-77.013769 38.886978),Washington & Independence Ave SW/HHS,0.09941680719621285
United States Holocaust Memorial Museum,100 RAOUL WALLENBERG PLACE SW,38.88668129,-77.03268624,293186,active,POINT(-77.032429 38.888553),Jefferson Dr & 14th St SW,0.1300885626620207
Whittemore House,1526 NEW HAMPSHIRE AVENUE NW,38.91093038,-77.04266708,225724,active,POINT(-77.04478 38.908905),20th & O St NW / Dupont South,0.1802829844826225
Whittemore House,1526 NEW HAMPSHIRE AVENUE NW,38.91093038,-77.04266708,225724,active,POINT(-77.041834 38.912648),18th & R St NW,0.1268737440436907
Whittemore House,1526 NEW HAMPSHIRE AVENUE NW,38.91093038,-77.04266708,225724,active,POINT(-77.041829 38.911268),18th & New Hampshire Ave NW,0.050749061505560925
Whittemore House,1526 NEW HAMPSHIRE AVENUE NW,38.91093038,-77.04266708,225724,active,POINT(-77.0444 38.9101),Massachusetts Ave & Dupont Circle NW,0.10944007063078379
