MUSEUM,MATCHADDRESS,LATITUDE,LONGITUDE,ID,mus_point,region_id,capacity,lat,lon,num_bikes_available,status,stat_point,Station_Name,closest,approx_distance_miles
National Guard Memorial Museum,1 MASSACHUSETTS AVENUE NW,38.89811835,-77.00955916,238009,POINT(-77.00955916 38.89811835),42,19,38.899703,-77.008911,8,active,POINT(-77.008911 38.899703),North Capitol St & G Pl NE,true,0.11492694627495936
National Guard Memorial Museum,1 MASSACHUSETTS AVENUE NW,38.89811835,-77.00955916,238009,POINT(-77.00955916 38.89811835),42,33,38.897108,-77.011616,23,active,POINT(-77.011616 38.897108),New Jersey Ave & F St NW,true,0.13081891321190428
National Guard Memorial Museum,1 MASSACHUSETTS AVENUE NW,38.89811835,-77.00955916,238009,POINT(-77.00955916 38.89811835),42,23,38.897446,-77.009888,15,active,POINT(-77.009888 38.897446),North Capitol St & F St NW,true,0.04971721130003747
National Museum of African American History and Culture,1400 CONSTITUTION AVENUE NW,38.89124508,-77.03280325,310702,POINT(-77.03280325 38.89124508),42,19,38.892244,-77.033234,9,active,POINT(-77.033234 38.892244),15th St & Constitution Ave NW,true,0.0728180551335971
National Museum of African Art,950 INDEPENDENCE AVENUE SW,38.8879547,-77.02550689,293262,POINT(-77.02550689 38.8879547),42,15,38.887312,-77.025762,10,active,POINT(-77.025762 38.887312),Independence Ave & L'Enfant Plaza SW/DOE,true,0.04648749230052463
National Museum of African Art,950 INDEPENDENCE AVENUE SW,38.8879547,-77.02550689,293262,POINT(-77.02550689 38.8879547),42,35,38.888767,-77.02858,29,active,POINT(-77.02858 38.888767),Smithsonian-National Mall / Jefferson Dr & 12th St SW,true,0.17457976039504194
National Museum of American History,,38.891199,-77.029989,293200,POINT(-77.029989 38.891199),42,35,38.888767,-77.02858,29,active,POINT(-77.02858 38.888767),Smithsonian-National Mall / Jefferson Dr & 12th St SW,true,0.18436967163463613
National Museum of American Jewish Military History,1811 R STREET NW,38.91281314,-77.04211348,243292,POINT(-77.04211348 38.91281314),42,19,38.911268,-77.041829,8,active,POINT(-77.041829 38.911268),18th & New Hampshire Ave NW,true,0.10787205380096149
National Museum of American Jewish Military History,1811 R STREET NW,38.91281314,-77.04211348,243292,POINT(-77.04211348 38.91281314),42,19,38.912648,-77.041834,9,active,POINT(-77.041834 38.912648),18th & R St NW,true,0.018870714051699128
National Museum of Natural History,NATIONAL MUSEUM OF NATURAL HISTORY,38.89121662,-77.02595438,293188,POINT(-77.02595438 38.89121662),42,31,38.893028,-77.026013,15,active,POINT(-77.026013 38.893028),10th St & Constitution Ave NW,true,0.12522092412439287
National Museum of Women in the Arts,1250 NEW YORK AVENUE NW,38.90004902,-77.02916139,279010,POINT(-77.02916139 38.90004902),42,23,38.899632,-77.031686,12,active,POINT(-77.031686 38.899632),14th St & New York Ave NW,true,0.138806140048813
National Museum of Women in the Arts,1250 NEW YORK AVENUE NW,38.90004902,-77.02916139,279010,POINT(-77.02916139 38.90004902),42,39,38.898364,-77.027869,9,active,POINT(-77.027869 38.898364),Metro Center / 12th & G St NW,true,0.1356165697277748
National Museum of Women in the Arts,1250 NEW YORK AVENUE NW,38.90004902,-77.02916139,279010,POINT(-77.02916139 38.90004902),42,23,38.900283,-77.029822,10,active,POINT(-77.029822 38.900283),13th St & New York Ave NW,true,0.039036034083367956
National Museum of the American Indian,NATIONAL MUSEUM OF THE AMERICAN INDIAN,38.88827538,-77.01662957,294429,POINT(-77.01662957 38.88827538),42,39,38.88637194054526,-77.01770067214966,29,active,POINT(-77.0177006721497 38.8863719405453),4th & C St SW,true,0.14360847819231662
National Museum of the American Indian,NATIONAL MUSEUM OF THE AMERICAN INDIAN,38.88827538,-77.01662957,294429,POINT(-77.01662957 38.88827538),42,31,38.890493,-77.017253,14,active,POINT(-77.017253 38.890493),4th St & Madison Dr NW,true,0.156881844054379
National Museum of the American Indian,NATIONAL MUSEUM OF THE AMERICAN INDIAN,38.88827538,-77.01662957,294429,POINT(-77.01662957 38.88827538),42,31,38.886978,-77.013769,28,active,POINT(-77.013769 38.886978),Washington & Independence Ave SW/HHS,true,0.17809243392477062
National Portrait Gallery,,38.898181,-77.022972,294248,POINT(-77.022972 38.898181),42,33,38.8997,-77.023086,21,active,POINT(-77.023086 38.8997),8th & H St NW,true,0.10515426888424323
National Portrait Gallery,,38.898181,-77.022972,294248,POINT(-77.022972 38.898181),42,27,38.89728304853854,-77.02219069004059,19,active,POINT(-77.0221906900406 38.8972830485385),7th & F St NW / National Portrait Gallery,true,0.0749454241260442
National Portrait Gallery,,38.898181,-77.022972,294248,POINT(-77.022972 38.898181),42,23,38.89824328774852,-77.02623546123505,5,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,true,0.1755758872827351
National Postal Museum,2 MASSACHUSETTS AVENUE NE,38.89813891,-77.00818895,293217,POINT(-77.00818895 38.89813891),42,19,38.899703,-77.008911,8,active,POINT(-77.008911 38.899703),North Capitol St & G Pl NE,true,0.11485594348861963
National Postal Museum,2 MASSACHUSETTS AVENUE NE,38.89813891,-77.00818895,293217,POINT(-77.00818895 38.89813891),42,23,38.897446,-77.009888,15,active,POINT(-77.009888 38.897446),North Capitol St & F St NW,true,0.10316911936242248
National Zoo,3001 CONNECTICUT AVENUE NW,38.93061121,-77.05442859,293230,POINT(-77.05442859 38.93061121),42,15,38.930282,-77.055599,2,active,POINT(-77.055599 38.930282),3000 Connecticut Ave NW / National Zoo,true,0.06690802396563117
Naval Heritage Center,701 PENNSYLVANIA AVENUE NW,38.89443849,-77.02238001,279889,POINT(-77.02238001 38.89443849),42,19,38.894573,-77.01994,5,active,POINT(-77.01994 38.894573),6th St & Indiana Ave NW,true,0.13156997345713353
