station_id,Station_Name,num_bikes_available,num_docks_available,num_ebikes_available,capacity,station_lat,station_lon,last_updated_date
255,Columbia Pike & S Walter Reed Dr,4,8,0,12,38.862478,-77.08659899999999,2020-07-22 03:48:40
256,Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St,15,0,0,15,38.856319,-77.11153,2020-07-22 03:48:40
257,Pershing Dr & N George Mason Dr,2,9,0,11,38.871821999999995,-77.107906,2020-07-22 03:48:40
258,Fenton St & New York Ave ,-1,14,0,15,38.985403999999996,-77.02308199999999,2020-07-22 03:48:40
259,Bethesda Ave & Arlington Rd,5,14,1,19,38.981103000000004,-77.097426,2020-07-22 03:48:40
260,Montgomery Ave & Waverly St ,1,9,0,11,38.983838,-77.09221,2020-07-22 03:48:40
261,Fallsgrove Blvd & Fallsgrove Dr,10,9,0,19,39.096312,-77.192672,2020-07-22 03:48:40
262,Traville Gateway Dr & Gudelsky Dr,4,15,2,19,39.093783,-77.202501,2020-07-22 03:48:40
263,Norfolk Ave & Fairmont St,1,10,0,11,38.988562,-77.096539,2020-07-22 03:48:40
264,E Montgomery Ave & Maryland Ave,10,5,3,15,39.084125,-77.151291,2020-07-22 03:48:40
265,Cordell & Norfolk Ave,0,11,0,11,38.989540000000005,-77.098029,2020-07-22 03:48:40
266,Frederick Ave & Horners Ln,7,2,0,9,39.094772,-77.145213,2020-07-22 03:48:40
267,Philadelphia & Maple Ave,3,12,0,15,38.98128,-77.011336,2020-07-22 03:48:40
268,Maple & Ritchie Ave,10,5,0,19,38.983627,-77.006311,2020-07-22 03:48:40
269,Silver Spring Metro / Colesville Rd & Wayne Ave,3,12,0,15,38.99489580319022,-77.02953189611434,2020-07-22 03:48:40
270,Montgomery & East Ln,1,10,0,11,38.983525,-77.09536700000001,2020-07-22 03:48:40
271,Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,4,14,0,19,38.961763,-77.085998,2020-07-22 03:48:40
272,14th & Belmont St NW,5,6,0,15,38.921074,-77.031887,2020-07-22 03:48:40
273,3rd & Tingey St SE,9,10,0,19,38.875009999999996,-77.0024,2020-07-22 03:48:40
274,10th & Florida Ave NW,9,10,0,19,38.920387,-77.025672,2020-07-22 03:48:40
275,Potomac Ave & 8th St SE,5,10,0,15,38.876737,-76.99446800000001,2020-07-22 03:48:40
277,Fallsgrove Dr & W Montgomery Ave,0,15,0,15,39.099376,-77.188014,2020-07-22 03:48:40
278,Monroe St & Monroe Pl,9,6,0,15,39.083673,-77.149162,2020-07-22 03:48:40
279,Needwood Rd & Eagles Head Ct,9,6,0,15,39.123513,-77.15741,2020-07-22 03:48:40
280,East West Hwy & Blair Mill Rd,4,11,0,15,38.990249,-77.02935,2020-07-22 03:48:40
282,47th & Elm St,1,14,1,15,38.982456,-77.09199100000001,2020-07-22 03:48:40
283,Dennis Ave & Amherst Ave,2,13,0,15,39.025387196236316,-77.04456299543382,2020-07-22 03:48:40
284,Montgomery College / W Campus Dr & Mannakee St,5,16,0,21,39.095661,-77.159048,2020-07-22 03:48:40
285,Fenton St & Gist Ave,3,8,0,11,38.989724,-77.023854,2020-07-22 03:48:40
286,Carroll & Westmoreland Ave,2,13,1,15,38.975,-77.01120999999999,2020-07-22 03:48:40
287,Carroll & Ethan Allen Ave,1,14,1,15,38.977933,-77.006472,2020-07-22 03:48:40
288,Battery Ln & Trolley Trail,2,13,1,15,38.992375,-77.100104,2020-07-22 03:48:40
289,Norfolk & Rugby Ave,0,11,0,11,38.990639,-77.100239,2020-07-22 03:48:40
